No.,Business_Name,Pre_Crash_Mode,AV,OtherVeh,Weather,Lighting,Collision_Type,Damage_Detail
90,Toyota ,Conventional,Proceeding Straight,Proceeding Straight,Clear,Daylight,Hit Object,"A Toyota Research Institute Vehicle (the 'TRI Vehicle"") was travelling under manual control in the #1 lane on I-80 Eastbound near the Pomona Street exit in Crockett. A Hyundai attempted to change from the #3 lane to the #2 lane. The Hyundai impacted a Prius that was already in the #2 lane, which caused the Prius to enter the #1 lane, where it impacted the TRI Vehicle. The TRI Vehicle then impacted the center barrier and came to a stop in the roadway. The Hyundai stopped on the right shoulder, and the Prius eventually came to rest along the dirt embankment The California Highway Patrol responded to the scene, and the vehicles were cleared off the roadway. ATTACHED: Additional information relating the Hyundai vehicle and driver."
91,Cruise,Autonomous,Proceeding Straight,Unknown,Clear,Daylight,Side Swipe,"A Cruise autonomous vehicle ("" Cruise AV"" ), operating in autonmous mode, was involved in a collision while traveling southbound on Gough Street at the intersection with Fell Street. The Cruise AV was driving in its lane when a motorocycle tried to overtake it on the left side. As it passed the Cruise AV, the motorcycle made contact with the left side of the Cruise AV and clipped the left front articulating radar. There were no injuries. The police were called but declined to respond citing the lack of any reported injuries."
92,Google,Conventional,Slowing/Stopping,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo autonomous vehicle (""Waymo AV"") in manual mode was rear-ended while traveling on the ramp from Central Expressway onto southbound South Shoreline Boulevard. The Waymo AV driver applied braking before the merge to give way to an approaching vehicle. The passenger vehicle traveling behind collided with the rear of the Waymo AV. The Waymo AV experienced minor damage, and the other vehicle experienced minor damage to its front bumper. There were no injuries reported at the scene by either party."
93,Zoox,Conventional,Backing,Parked,Clear,Daylight,Rear End,"On Saturday, August 11th at 3:38 PM PST a Zoox vehicle, operated in manual mode, was reversing at"
94,Cruise,Autonomous,Proceeding Straight,Changing Lanes,Fog/Visibility,Daylight,Side Swipe,"A Cruise autonomous vehicle ("" Cruise AV"" ), operating in autonmous mode, was traveling southbound on Pierce Street between Ellis and Eddy Streets when a vehicle that had changed lanes to pass it on the left, turned back into the Cruise AV's lane too tightly and clipped the Cruise AV's front left radar damaging the sensor and it's casing. There were no injuries and police were not called. The driver of the other vehicle did not stop after the collision."
95,Cruise,Autonomous,Proceeding Straight,Changing Lanes,Clear,Daylight,Side Swipe,"A Cruise autonomous vehicle("" Cruise AV"" ), operating in autonmous mode, was traveling northbound on 3rd Street between 22nd and 23rd Streets when a vehicle passing it on the left merged into the Cruise A V's lane too tightly and clipped the Cruise A V's front left radar bending the bracket that holds the sensor casing. There were no injuries and police were not called."
96,Google,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo autonomous vehicle (""Waymo AV"") in autonomous mode traveling northbound on Gretel Lane in Mountain View was preparing to make a right turn when it was rear ended by another vehicle. The Waymo AV was completely stopped; the other vehicle was traveling at approximately 2 mph at the time of the collision. There was minor damage to both vehicles and no injuries reported at the scene by either party."
98,Google,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo autonomous vehicle (""Waymo AV"") in autonomous mode traveling southbound on San Antonio in Palo Alto, CA was stopped to yield to cross traffic when it was rear ended by a vehicle traveling at approximately 5 mph at the time of the collision. There was minor damage to both vehicles and no injuries reported at the scene by either party."
99,Zoox,Conventional,Stopped,Making Left Turn,Clear,Daylight,Side Swipe,"On September 7th, 2018, at approximately 3 :47 PM, a Zoox vehicle, operating in manual mode, was struck on the passenger side by a bus. The Zoox vehicle was traveling southbound on Mason St. and making the left turn onto Eddy St, and had entered the intersection and was stopped when the bus on the adjacent lane to the right struck the Zoox vehicle as it was turning into Eddy St. from Mason St. The bus impacted the passenger-side sensor and fender. The bus was traveling at less than 2 mph when it hit the Zoox vehicle, which was stopped. There were no injuries"
100,Cruise,Conventional,Proceeding Straight,Merging,Clear,Daylight,Side Swipe,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was traveling southbound on Hyde Street approaching McAllister Street when a parked vehicle pulled out in front of the Cruise AV making contact with with the Cruise A V's passenger side door causing light damage on both the front and rear passenger side door panels. There were no injuries and police were not called."
101,Cruise,Conventional,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was stopped in traffic southbound on Divisidero Street just past Fell Street when another vehicle rear ended the Cruise AV causing minor damage to the rear of the Cruise AV. The driver of the other vehicle did not stop. There were no injuries and police were not called."
102,Google,Autonomous,Stopped,Making Right Turn,Clear,Daylight,Rear End,"A Waymo autonomous vehicle (""Waymo A V"") was stopped in A utonomous mode in the sliplane of Villa St. and Shoreline Blvd. in Mountain V iew when a passenger vehicle struck the rear of the Waymo AV at low speed. T he Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle had minor damage to the front bumper. No injuries were reported at the scene."
103,Google,Autonomous,Making Left Turn,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo autonomous vehicle("" Waymo AV"" ) in autonomous mode was rear ended after entering the parking lot at l 00 Mayfield Ave. The Waymo AV was yielding for an oncoming vehicle while preparing to make a left turn inside the parking lot. There was minor damage to both vehicles and no injuries reported at the scene by either party."
104,Cruise,Conventional,Parked,Parking Manuever,Clear,Daylight,Side Swipe,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was parked on southbound Bryant Street just past Mariposa Street when another vehicle pulled in front of the Cruise AV too tightly, scratching the left front bumper of the Cruise AV and denting the right rear side of the other vehicle. There were no injuries. The police were called, but no report was available at the time of the filing of this report."
105,Zoox,Conventional,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"On Monday, September 24, 2018 at.approximately 9: 18 AM, a cyclist biked into the rear bumper of a stationary Zoox vehicle at the northwest corner of Embarcadero and Broadway. The Zoox vehicle was in conventional mode waiting for pedestrians to clear the crosswalk before making a right turn from Embarcadero onto Broadway. After contact, the Zoox vehicle completed the right turn onto Broadway and pulled over to the side of the road. However, the cyclist continued riding on Embarcadero and did not stop to discuss the incident."
106,Google,Autonomous,Stopped,Stopped,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (""Waymo AV"") was stopped in autonomous mode at a traffic light at the intersection of Rengstorff Ave. and Garcia Ave. in Mountain View when a box truck made contact with the rear bumper of the Waymo AV. The Waymo vehicle sustained minor damage to the rear bumper, and the box truck had minor damage to the front bumper and license plate. No injuries were reported at the scene."
107,Zoox,Conventional,Stopped,Changing Lanes,Clear,Daylight,Rear End,"On October 12th, 2018, at approximately 3:04 PM, a Zoox vehicle, operating in Conventional Mode, was rear-ended by a Honda Accord . The Zoox vehicle was traveling southbound on Mason St and then stopped for a red light at the intersection of Mason St. and Post St. The right-side of the front bumper of the Honda made contact with left-side of the back bumper of the Zoox vehicle as the Honda attempted to pass to the left of the Zoox vehicle into the parking lane. The Honda was traveling at less than 2 mph when it made contact with the stationary Zoox vehicle at the Mason St. and Post St intersection. There were no injuries. The police were not called."""
108,Cruise,Conventional,Passing Other Vehicle,Entering Traffic,Clear,Daylight,Head-On,"A Cruise autonomous vehicle (""Cruise AV"") was involved in a collision in manual mode while traveling southbound on Cherry Street between Sacramento and California Streets. While making a maneuver to avoid a parallel parking vehicle, the driver of the Cruise AV made contact with another vehicle that was pulling out of a driveway on the opposite side of the street, scratching the front center bumper of the other vehicle and denting the front left bumper of the Cruise AV. There were no injuries and police were not called."
110,Google,Autonomous,Stopped,Making Right Turn,Clear,Dark-Street Lights,Rear End,"A Waymo A utonomous Vehicle (""Waymo AV"") traveling in Autonomous mode southbound on Shoreline Boulevard, in the right hand slip lane, turning right onto westbound El Camino Real in Mountain View when the Waymo AV came to a stop to yield to approaching traffic from the left, when it was struck from behind by a passenger vehicle. T he Waymo AV sustained minor damage and the passenger vehicle had minor damage. T here were no injuries reported at the scene."
111,Google,Conventional,Changing Lanes,Proceeding Straight,Clear,Daylight,Side Swipe,"A Waymo Autonomous Vehicle (""Waymo AV"") was traveling at approximately 21 MPH westbound in Lane 2 of El Camino Real in Mountain View in self-driving mode. A passenger vehicle in Lane 1,to the left of the Waymo AV, began to change lanes into Lane 2 to avoid a box truck blocking two lanes of traffic, Waymo's test driver took manual control ofthe AV out of an abundance of caution, disengaged from self-driving mode, and began changing lanes into Lane 3. A motorcycle, traveling at approximately 28 MPH behind the Waymo AV, had just entered Lane 3 to overtake the Waymo AV on its right. The Waymo AV and motorcycle collided at the Way mo AV's right rear corner. The motorcyclist reported injuries and was transported to the hospital for treatment. The Waymo AV sustained minor damage to the rear bumper."
112,Google,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (""Waymo AV"") in autonomous mode was stopped to check for oncoming traffic while in a slip lane to turn from Shoreline Boulevard onto El Camino Real in Mountain View when it was rear ended by a passenger vehicle. The Waymo AV sustained moderate damage to the rear left ofthe vehicle, and the passenger vehicle had moderate damage to the front right ofthe vehicle. No injuries were reported at the scene."
113,Cruise,Conventional,Proceeding Straight,Proceeding Straight,Clear,Daylight,Side Swipe,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was traveling southbound on Gough Street between Fulton and Grove Streets when a lane-splitting motorcycle passed the Cruise AV and knocked off the Cruise A V's front left radar cover. The driver of the motorcycle did not stop after the collision. There were no injuries and police were not called."
114,Cruise,Conventional,Proceeding Straight,Proceeding Straight,Clear,Daylight,Broadside,"A Cruise autonomous vehicle (""Cruise AV"") was involved in a collision in manual mode while traveling northbound on 4th Avenue at the intersection with Cornwall Street. While proceeding through the intersection with the right of way, the driver of the Cruise AV made contact with a vehicle that did not obey a stop sign, damaging the right rear passenger door and wheel well ofthe other vehicle and the center of the Cruise A V's front bumper and front camera. There were no injuries. Police arrived at the scene but did not prepare a report."
115,Aurora,Conventional,Proceeding Straight,Proceeding Straight,Clear,Daylight,Rear End,"On November 2, 2018 at approximately 3:00 PM PST, an Aurora test vehicle, operating in Conventional Mode, was rear-ended by a BMW 528i. The Aurora test vehicle was traveling Northbound on the 101 freeway between the University and East Palo Alto exits. The Aurora test vehicle was decelerating and nearly at a complete stop as it approached lead vehicles that were stopped due to heavy traffic conditions when the BMW following directly behind made contact with the test vehicle's rear bumper. There were no injuries, the parties exchanged information, and the police were not called."
116,Cruise,Autonomous,Proceeding Straight,Proceeding Straight,Clear,Dark-Street Lights,Broadside,"A Cruise autonomous vehicle ("" Cruise AV"" ), operating in autonomous mode, was proceeding northbound on Steiner Street at the intersection with Haight Street on a green light when a cyclist, traveling westbound through a red light, made contact with the right rear corner of the Cruise AV. The cyclist mentioned right shoulder pain, but denied needing an ambulance and left the scene on his own. The police were not called."
117,Google,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo autonomous vehicle (""Waymo AV"") in autonomous mode from southbound Alma Street onto southbound Oregon Expressway in Palo Alto was stopped and yielding to traffic while waiting to make a right turn at a stop sign when it was rear-ended by a passenger vehicle traveling at less than 1 MPH. The Waymo AV sustained minor damage to the bumper, and the passenger vehicle had minor damage to its front bumper. No injuries were reported at the scene"
118,Google,Autonomous,Stopped,Proceeding Straight,Cloudy,Dusl-Dawn,Rear End,"A Waymo Autonomous Vehicle (""Waymo AV"") was stopped in autonomous mode on the off-ramp from westbound Alma Street to southbound Oregon Expressway in Palo Alto when it was rear-ended. The Waymo AV was yielding to cross-traffic when a passenger vehicle made contact with the Waymo A V 's rear bumpe at approximately 9 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle had minor damage to the front bumper. No inj uries were reported at the scene."
119,Google,Conventional,Proceeding Straight,Unknown,Cloudy,Daylight,Hit Object,"A Waymo Autonomous Vehicle (""Waymo AV"") was traveling in autonomous mode in the leftmost lane of northbound Rengstorff Avenue approaching Charleston Road in Mountain View when the test driver accidentally disengaged autonomous mode. The Waymo AV then struck a curb at approximately 28 MPH and the front driver-side tire deflated. No inj uries were reported at the scene."
120,Cruise,Conventional,Proceeding Straight,Proceeding Straight,Clear,Dark-Street Lights,Rear End,"A Cruise autonomous vehicle("" Cruise AV"" ), operating in autonomous mode, was traveling eastbound on 14th Street between Natoma and South Van Ness Streets when the Cruise AV began to yield to a car on its left. The driver of the Cruise AV disengaged from autonomous mode, and shortly thereafter a motorcyclist made contact with the left rear bumper of the Cruise AV, causing damage to the Cruise AV' s rear bumper. There were no injuries and police were not called."
121,Cruise,Autonomous,Stopped,Passing Other Vehicle,Clear,Daylight,Rear End,"A Cruise aut.onomous vehicle("" Cruise AV"" ), operating in autonomous mode, was waiting for oncoming traffic to clear the intersection before making a left turn onto Fulton Street from southbound Baker Street when another vehicle made contact with the right rear corner of the Cruise AV while attempting to pass it, causing damage to the Cruise AV' s rear bumper. There were no injuries and police were not called."
122,Google,Conventional,Making Right Turn,Making Right Turn,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (""Waymo A V"") in manual mode traveling westbound on W. Evelyn Avenue was yielding to traffic while waiting to make a right tum onto northbound Castro Street in Mountain View when it was rear-ended by a passenger vehicle traveling at approximatel y 5 MPH. The Waymo AV sustained minor damage to the bumper, and the passenger vehicle had minor damage to its hood. No injuries were reported at the scene."
123,Zoox,Autonomous,Stopped,Proceeding Straight,Clear,Dark-Street Lights,Head-On,"On November 20,2018, at approximately 10:04PM,a Zoox vehicle in autonomous mode made a gradual stop at the stop sign at the intersection of Stockton St and Lombard St. While waiting and stopped at the stop sign, the Zoox vehicle was rear-ended by an Infiniti M35. The lnfiniti made contact with the rear bumper of the Zoox vehicle . The Infiniti was traveling at approximately 5-10mph when it hit the Zoox vehicle. There were no inj uries and no visible damage to either vehicle."
124,Cruise,Conventional,Proceeding Straight,Proceeding Straight,Clear,Daylight,Broadside,"A Cruise autonomous vehicle ("" Cruise AV"" ), operating in conventional mode, was traveling westbound on Pine Street and entered the intersection at Battery Street when another vehicle, traveling southbound through a red light, made contact with the right front corner of the Cruise AV, causing damage to the Cruise AV' s front bumper. The driver and one of the passengers of the Cruise AV suffered minor injuries. The driver of the other vehicle was not injured and police were not called."
125,Google,Autonomous,Stopped,Proceeding Straight,Cloudy,Daylight,Rear End,"A Waymo Autonomous Vehicle (""Waymo AV"") was in autonomous mode at the merge onto northwest-bound Central Expressway exiting the ramp from northeast-bound San Antonio Road in Palo Alto when it was rear-ended. The Waymo AV stopped to yield to traffic on Central Expressway, after which the passenger vehicle immediately behind the Waymo AV struck the Waymo A V's rear bumper at approximately 2 MPH. The Waymo AV sustained minor damage to its rear bumper, and the other vehicle had no apparent damage. No injuries were reported at the scene"
126,Google,Autonomous,Stopped,Making Right Turn,Clear,Dusk-Dawn,Side Swipe,"This OL3l 6 report was submitted to the DMV on December 19, 2018 as an amendment to the original report which was submitted to the DMV on December 13, 2018. This new report corrects clerical errors and includes new information of the other party. A Waymo Autonomous Vehicle (""Waymo AV''.) was stopped in autonomous mode on Middlefield Road at Oregon Expressway in Palo Alto when a county bus came in contact with the passenger side mirror, pushing it towards the AV. The Waymo AV was stopped at a red light, and the bus was making a right-on-red in the adjacent right turn lane. The Waymo AV sustained minor damage to the mirror, and the bus d id not stop to exchange information. There were no injuries reported at the scene."
127,Cruise,Autonomous,Proceeding Straight,Making Left Turn,Raining,Daylight,Rear End,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was proceeding straight after completing a left turn from northbound Cyril Magnin Street onto westbound Ellis Street when another vehicle, attempting to pass the Cruise AV on the left , made contact with the left rear bumper of the Cruise AV, damaging the left rear wheel well of the Cruise AV. There were no injuries and police were not called."
128,Google,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Broadside,"A Waymo Autonomous Vehicle (""Waymo AV"") was traveling in autonomous mode on northbound View Street at California Street in Mountain View, approaching a four-way intersection with a traffic calming island. After coming to a complete stop at a two-way stop sign, the Waymo AV determined it was safe to proceed through the intersection and began to do so, when it detected a bicyclist approaching from the right. The Waymo AV then stopped for the bicyclist, whose front tire made contact with the passenger side of the stationary Waymo AV at approximately 3 MPH. The bicyclist remained upright and rode away without exchanging information. No injuries or damage were reported or observed."
129,Google,Conventional,Proceeding Straight,Unknown,Fog/Visibility,Daylight,Hit Object,"A Waymo Autonomous Vehicle (""Waymo AV"") was traveling in manual mode on Alma Street at El Verano Avenue in Palo Alto when it struck a curb. The Waymo AV was traveling at approximately 32 MPH in the number 2 lane heading northbound on Alma Street where the number 3 lane ends after the intersection of El Verano Avenue. While nudging to avoid a car in the number 1 lane that drifted into the number 2 lane, the Waymo AV struck the curb at the lane shift and the front passenger tire deflated. No injuries were reported at the scene."
130,Cruise,Conventional,Making Left Turn,Changing Lanes,Clear,Dark-Street Lights,Side Swipe,"A Cruise autonomous vehicle ("" Cruise AV"" ), operating in conventional mode, was making a left turn from northeast bound Folsom Street onto northwest bound 11th Street when a scooterist, attempting to pass the Cruise AV on the left, made contact with the front left side of the Cruise AV, damaging the front left fender, radar, and wheel well of the Cruise AV. The scooterist reported injuries and emergency services and the police arrived at the scene, but the scooterist declined medical treatment. No police report was available at the time of the filing of this report."
131,Cruise,Autonomous,Proceeding Straight,Making Right Turn,Clear,Daylight,Rear End,"A Cruise autonomous vehicle ("" Cruise AV"" ), operating in autonomous mode, was traveling northbound on South Van Ness
 
 Street near the Howard Street fork when another vehicle, œturning right onto South Van Ness from Howard, made contact with
 
 the right rear corner of the Cruise AV, causing damage to the Cruise AV' s rear bumper. There were no injuries and police
 
 were not called."
132,Aurora,Conventional,Stopped,Proceeding Straight,Clear,Daylight,Head-On,"On 01/10/2019 at 2:52 pm, an Aurora vehicle was stopped at a red traffic light in manual mode on Townsend and 3rd, was struck in the rear bumper by Honda CR-V approaching from behind. There was moderate damage to the Aurora vehicle's right rear sensor, mount and quarter panel. There was minimal damage to the Honda's front right bumper. Both vehicles were operational and pulled over on a side street to exchange vehicle and insurance information. No injuries were reported and no police were requested nor present at the scene."
133,Google,Conventional,Stopped,Making Right Turn,Clear,Daylight,Rear End,"Per the DMV's request of 02/21/2019, Waymo is resubmitting this OL316 so the DMV's digital version is compliant with accessibility requirements under AB 434. Waymo's original report was submitted on 01/31/2019. A Waymo Autonomous Vehicle (""Waymo A V"") in manual mode was yielding to check for cross traffic while in the slip lane to turn from southbound Shoreline Boulevard to westbound El Camino Real in Mountain view when it was rear-ended by a passenger vehicle. The Waymo AV sustained minor damaged to the rear left of the vehicle, and the passenger vehicle had minor damage to the front right of the vehicle. No injuries were reported."
134,Cruise,Autonomous,Making Right Turn,Entering Traffic,Clear,Dark-Street Lights,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was making a right turn from 16th Street onto northbound Guerrero Street when another vehicle, entering traffic from a curbside parked position on westbound 16th Street, made contact with the right rear corner of the Cruise AV, damaging the Cruise AV?s rear right bumper, wheel well, and rear parking sensor. The driver of the other vehicle drove away without exchanging information. There were no injuries and police were not called."
